Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C15, C16, C5",0805,6,100nF,C49678
"C11, C12",0805,2,10µF,C83170
"C14, C9",CP_Radial_D10.0mm_P5.00mm,2,1000µF,C233098
"C2, C3, C7, C8",0805,4,220nF,C513710
"C4, C6",0805,2,1nF,C51210
"R1, R2",0805,2,15k,C17475
"R10, R6",0805,2,1k,C17513
"R11, R3, R7",0805,3,10k,C17414
"R5, R9",0805,2,510,C2907333
"U2, U6",TO127P1500X440-8N,2,IFX007T,C6968485
"U4, U5",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8871DDA,C1556867
