Designator,Mid X,Mid Y,Rotation,Layer
C1,148.29,-100.45,90.0,top
C10,147.55,-65.5,0.0,top
C11,142.5,-65.5,180.0,top
C12,141.45,-83.25,180.0,top
C13,146.3,-83.25,0.0,top
C14,222.0,-110.622323,270.0,top
C15,215.48,-110.81,270.0,top
C16,141.27,-110.262323,90.0,top
C2,168.91,-118.43,270.0,top
C3,168.91,-112.75,270.0,top
C4,141.75,-100.45,90.0,top
C5,214.25,-102.2,90.0,top
C6,207.01,-102.2,90.0,top
C7,189.25,-112.75,270.0,top
C8,189.25,-118.45,270.0,top
C9,134.62,-110.45,90.0,top
R1,152.5,-85.8375,90.0,top
R10,209.79,-102.1625,270.0,top
R11,167.4125,-71.0,180.0,top
R2,154.25,-68.1625,90.0,top
R3,167.3375,-62.25,180.0,top
R5,145.75,-100.4125,270.0,top
R6,139.21,-100.4875,270.0,top
R7,167.5,-79.5,0.0,top
R9,216.8,-102.2375,270.0,top
U2,200.68,-115.57,180.0,top
U4,146.7,-88.87,180.0,top
U5,147.94,-71.15,180.0,top
U6,156.21,-115.57,0.0,top
